WELL_KEY,BASIN,BASIN_CODE,POOL_NAME,FORMATION_NAME,WELL_ALIAS,BATTERY,COUNTRY,WELLHEAD_LATITUDE,WELLHEAD_LONGITUDE,SANDFACE_LATITUDE,SANDFACE_LONGITUDE,SANDFACE_DLS,SANDFACE_NTS,FIELD_CODE,POOL_CODE,FORMATION_CODE,NAD,KB_ELEVATION,GROUND_ELEVATION,CASING_FLANGE_ELEVATION,WELL_STATUS,ENTITY_NO,PRIMARY_FLUID,CURRENT_STATUS,STATUS_DATE,UNIT,UNIT_CODE,NUM_OF_FRACS,BATTERY_CODE,BOTTOM_PERFORATION_MD,BOTTOM_PERFORATION_TVD,DISTRICT,ENTITY_LOCATION,GAS_GATHERER,LATERAL_CODE,LATERAL_NAME,LICENSE_DATE,METER_NUMBER,OIL_CONDENSATE_GATHERER,ONSHORE_OFFSHORE,ORIGINAL_OPERATOR,ORIGINAL_OPERATOR_CODE,PLANT_CODE,PLANT_NAME,PLANT_TYPE,PLANT_TYPE_DESCRIPTION,PLUGBACK_DEPTH_MD,PLUGBACK_DEPTH_TVD,RIG_RELEASE_DATE,SPUD_DATE,TOP_PERFORATION_MD,TOP_PERFORATION_TVD,TOTAL_DEPTH_MD,TOTAL_DEPTH_TVD,WELL_TYPE,USER_SPECIFIED_CUSTOM_ATTR_1,USER_SPECIFIED_CUSTOM_ATTR_2,USER_SPECIFIED_CUSTOM_ATTR_N
50.0595.0020.05,Cook Inlet,1,None,None,A 010RD2 Tyonek,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0020.03,Cook Inlet,1,None,None,A 010S ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0024.02,Cook Inlet,1,None,None,A 011 ADL 18731 (B),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0024.00,Cook Inlet,1,None,None,A 011 ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0024.01,Cook Inlet,1,None,None,A 011 ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0024.99,Cook Inlet,1,None,None,A 011 PARENT ADL 18731 Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0044.01,Cook Inlet,1,None,None,A 011-01 ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0044.00,Cook Inlet,1,None,None,A 011-01 ADL 18754 (BCD),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0049.00,Cook Inlet,1,None,None,A 011-12 Inj ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0053.00,Cook Inlet,1,None,None,A 011-13RD Inj ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0047.00,Cook Inlet,1,None,None,A 012-01 ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0047.01,Cook Inlet,1,None,None,A 012-01LN ADL 18754 (EFG),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0058.00,Cook Inlet,1,None,None,A 012-12RD ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0080.00,Cook Inlet,1,None,None,A 012A-01 ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0021.00,Cook Inlet,1,None,None,A 012RD ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.07,Cook Inlet,1,None,None,A 013 ADL 18731 (B),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.03,Cook Inlet,1,None,None,A 013 ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.04,Cook Inlet,1,None,None,A 013 ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.98,Cook Inlet,1,None,None,A 013 ADL 18731 (D) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.05,Cook Inlet,1,None,None,A 013 ADL 18731 (E),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.99,Cook Inlet,1,None,None,A 013 ADL 18731 (E) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.06,Cook Inlet,1,None,None,A 013 ADL 18731 (H),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0022.97,Cook Inlet,1,None,None,A 013 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0045.01,Cook Inlet,1,None,None,A 013-01 ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0045.00,Cook Inlet,1,None,None,A 013-01 ADL 18754 (BCD),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0073.00,Cook Inlet,1,None,None,A 013-12RD ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0045.02,Cook Inlet,1,None,None,A 013LN-01 ADL 18754 (BCD)(EFG),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0002.03,Cook Inlet,1,None,None,A 014 ADL 18731 (B),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0002.99,Cook Inlet,1,None,None,A 014 ADL 18731 (C) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0002.98,Cook Inlet,1,None,None,A 014 ADL 18731 (D) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0002.97,Cook Inlet,1,None,None,A 014 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0061.00,Cook Inlet,1,None,None,A 014-01 ADL 18754,A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0061.01,Cook Inlet,1,None,None,A 014-01LN ADL 18754 (EFG),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0589.0061.02,Cook Inlet,1,None,None,A 014-01LN2 ADL 18754 (EFG),A,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
